187,【我和“金砖”有个约】我校贺东航、周颖刚教授应邀参加金砖国家治国理政研讨会,2017-08-21,/
188,【思政进行时】我校师生热议习近平总书记给第三届中国“互联网＋”大学生创新创业大赛“青年红色筑梦之旅”大学生的回信,2017-08-21,n
189,【实践路上】“自强思源”凤凰花实践队赴京津冀调研感受中国力量,2017-08-21,e
190,关于启动防御2017年第13号台风“天鸽”Ⅲ级应急响应的通知,2017-08-21,w
191,【我和“金砖”有个约】志愿者黄燕双:“我要向金砖嘉宾介绍厦大”,2017-08-21,s
192,关于启动防御台风Ⅳ级应急响应的通知,2017-08-20,.
193,2017年度国家自然科学基金评审结果揭晓,2017-08-18,x
194,我校召开石墨烯工程与产业研究院2017年学术年会,2017-08-18,m
195,【我和“金砖”有个约】厦大出版社策划选题迎金砖,2017-08-17,u
196,【“两学一做”常态化制度化】闪“硕”先锋行，共建促发展,2017-08-17,h
197,我校与台湾大学牵头发起的海峡两岸环境与生态联盟第二届年会在台北顺利召开,2017-08-15,t
198,【我和“金砖”有个约】我校教师开发海漂垃圾轨迹预测系统  保障厦门近岸海域生态环境质量,2017-08-14,t
199,【“两学一做”常态化制度化】外文学院2012级本科英专党支部：手望，守护每一个无声的希望,2017-08-14,p
200,我校学子在“2017中美青年创客大赛”总决赛中喜获佳绩,2017-08-14,:
201,【实践路上】我校“鹭梦井冈”实践队赴井冈山革命传统教育基地培训调研,2017-08-14,/
202,通 告,2017-08-12,/
203,教育厅督查组莅临我校检查指导安全排查整治工作,2017-08-11,n
204,【“两学一做”常态化制度化】管理学院学生党支部：体验式思想教育新模式——“学生党支部沙龙”,2017-08-11,e
205,【我和“金砖”有个约】后勤集团举行服务厦门会晤工作动员会议,2017-08-11,w
206,《国际经济法学刊》获国家级期刊号,2017-08-11,s
207,【思政进行时】我校“我的青春我的梦”主题征文活动共收到投稿作品1053篇,2017-08-10,.
208,【我和“金砖”有个约】一所学校与一座城：厦大为厦门凝智聚力 ,2017-08-10,x
209,【实践路上】软件学院“厦至泰宁”实践队赴泰宁开展暑期社会实践活动,2017-08-10,m
210,【我和“金砖”有个约】俄罗斯留学生安娜：中国是可以实现梦想的地方,2017-08-09,u
211,【实践路上】我校 “九江研究院博士团”实践队赴江西九江开展社会实践活动,2017-08-09,h
212,我校资产处被评为鼓浪屿申遗工作先进集体,2017-08-09,t
213,关于2017年8月9日校园交通管制的通告,2017-08-08,t
214,【实践路上】我校“一学一做”暑期社会实践团支书专项活动圆满完成,2017-08-08,p
215,【我和“金砖”有个约】提升安保水平  护航厦门会晤——保卫部（处）举办系列安全培训活动,2017-08-07,:
216,实验办举办实验室安全培训讲座,2017-08-04,/
217,【“两学一做”常态化制度化】追忆革命岁月，传承红色精神--党委党校举办第121期教工党支部书记学习班,2017-08-03,/
218,【实践路上】厦门大学博士生地方经济发展服务团“厦至永宁”实践队赴浙江开展实践活动,2017-08-03,n
219,我校学子在全国高校大学生金相大赛和材料综合技能大赛中再获佳绩,2017-08-02,e
220,【实践路上】“厦至井冈”实践队：让青春在实践中绽放光彩,2017-08-02,w
221,第四届台达杯高校自动化设计大赛厦大学子再获佳绩,2017-08-02,s
222,新闻传播学院邹振东教授为全国四级法院领导班子上媒介素养课,2017-08-02,.
223,【实践路上】厦至龙湖实践队：践行“一学一做” 助力我省生态文明试验区建设,2017-08-01,x
224,关于启动防暴雨洪水Ⅱ级应急响应的通知,2017-08-01,m
225,【实践路上】让信仰与青春同行——我校“青马工程”暑期实践活动圆满完成,2017-08-01,u
226,我校外文学子荣膺中华全国日语演讲比赛全国亚军,2017-08-01,h
227,厦门大学附属翔安医院发展规划研讨会召开,2017-07-31,t
228,关于防台风应急响应调整为Ⅳ级并维持防暴雨Ⅲ级应急响应的通知,2017-07-31,t
229,【实践路上】化学化工学院“厦至宁德”社会实践队赴宁德开展暑期社会实践活动,2017-07-31,p
230,关于调整防台风应急响应级别启动防御暴雨洪水Ⅲ级应急响应的通知,2017-07-30,:
231,关于启动防御2017年第9号台风“纳沙”Ⅱ级应急响应的通知,2017-07-30,/
232,校领导带队检查我校防台风防汛工作,2017-07-29,/
233,关于启动防御2017年第9号台风“纳沙”Ⅲ级应急响应的通知,2017-07-28,n
234,我校入选参加全国博士研究生教育综合改革试点工作,2017-07-28,e
235, 【“两学一做”常态化制度化】传承红色基因　锤炼坚强党性——厦门大学第123期基层党务工作者党性教育专题培训班举行,2017-07-28,w
236,2017第四届全国虚拟仪器大赛航院学子喜获佳绩,2017-07-28,s
237,【实践路上】思源五期“木棉树” 暑期社会实践正式启动,2017-07-28,.
238,关于启动防御2017年第9号台风“纳沙”Ⅳ级应急响应的通知,2017-07-27,x
239,【高招进行时】招录即将结束,2017-07-27,m
240,马来西亚分校中文系勇夺国际华语水平大赛一等奖,2017-07-27,u
241,厦门大学附属翔安医院首批医护工作者来校报到,2017-07-27,h
242,我校学生男子棒球队蝉联全国冠军 女子垒球队获全国季军,2017-07-27,t
243,【思政进行时】我校师生热议大型政论专题片《将改革进行到底》,2017-07-26,t
244,【高招进行时】招录接近尾声,2017-07-26,p
245,《美国化学会志》主编PeterJ.Stang院士做客南强学术讲座,2017-07-26,:
246,【实践路上】“喜迎十九大，青春建新功”——我校 “青马工程”实践团赴井冈山开展社会实践活动,2017-07-26,/
247,新闻传播学院邹振东教授获批一项重大项目,2017-07-25,/
248,名师设坛指导，“青椒”踊跃创新——厦门大学第五期青年骨干教师研修夏令营圆满落幕,2017-07-25,n
249,《科技日报》头版: “葡萄糖感受机制”或可治疗肥胖症,2017-07-25,e
250, 重走习总书记下乡路，学习时代楷模廖俊波——厦门大学第122期优秀青年骨干教师学习班举行,2017-07-24,w
251,教育部副部长杜占元深入我校科研单位调研,2017-07-24,s
252,学生工作会布置暑期学生工作,2017-07-24,.
253,我校厦门会晤志愿者首轮校内自主培训顺利结束,2017-07-24,x
254,公  告,2017-07-22,m
255,【思政进行时】医学院积极构建党团建设新模式,2017-07-21,u
256,学校召开第九届学位评定委员会第十四次会议,2017-07-20,h
257,药学院张晓坤教授与苏迎教授课题组发文Nature子刊,2017-07-20,t
258,【思政进行时】我校举行2017年暑期社会实践出征仪式,2017-07-20,t
259,【高招进行时】本一批已完成22个省市投档,2017-07-20,p
260,纪念《资本论》出版150周年——2017年马克思主义经济学暑期学校在我校开幕,2017-07-20,:
261,商务部俄语国家大学校长研修班赴闽考察团来访我校,2017-07-20,/
262, 【“两学一做”常态化制度化】“学党史、知党情、跟党走”党史知识竞赛举行,2017-07-19,/
263,【实践路上】延安精神，守望传播——新传“马新班”实践队赴延安调研,2017-07-18,n
264,2017孔子学院总部/国家汉办国家公派出国教师培训班在我校开班,2017-07-18,e
265,英国《卫报》发表长篇通讯介绍我校马来西亚分校,2017-07-18,w
266,【“两学一做”常态化制度化】垃圾分类　绿色先行——环境与生态学院党员在行动,2017-07-17,s
267,【高招进行时】招录进入“本一批”时间,2017-07-17,.
268,广东量子高科微生态医疗有限公司向我校捐赠,2017-07-17,x
269,我校2017年全国优秀大中学生夏令营开营,2017-07-17,m
270,【思政进行时】我校数学科学学院思政教育基地进世遗  ,2017-07-17,u
271,2017年青少年高校科学营厦门大学分营开营,2017-07-17,h
272,【思政进行时】厦门大学工会举办第26期干部理论学习班,2017-07-17,t
273,第四届全国青年能源环境政策与管理学术会议在我校召开,2017-07-17,t
274,【高招进行时】校招委员会委员现场观摩我校2017年普高招生网上录取工作,2017-07-16,p
275,翔安校区管委会检查布置校区后勤工作,2017-07-16,:
276,【高招进行时】本一批录取工作开启,2017-07-14,/
277,厦门大学召开2017年关工委全体会议,2017-07-14,/
278,【实践路上】景润青年与景润少年的约定​ ——记数学科学学院景润青年云南暑期实践队,2017-07-13,n
279,国家优化营商环境调研组一行来校交流,2017-07-13,e
280,【思政进行时】《中国教育报》理论版刊发我校党委学生工作部理论文章,2017-07-13,w
281,厦门大学第二十七次研究生代表大会胜利召开,2017-07-13,s
282,厦门大学第四十八次学生代表大会胜利召开,2017-07-13,.
283,校领导率团赴马来西亚分校调研,2017-07-12,x
284,【高招进行时】第一批本科新生录取通知书寄出,2017-07-12,m
285,副市长国桂荣来校考察访客中心及演武运动场改造项目建设,2017-07-12,u
286,孔院中方院长亲历鼓浪屿申遗成功,2017-07-12,h
287,【两学一做常态化制度化】资产处在职教工支部：学得用心 做得实在,2017-07-12,t
288,【聚焦厦门会晤】2017年“看中国”（福建行）金砖五国同学作品展映圆满举行,2017-07-12,t
289,“九龙总商会新纪元精英培训计划2017”在我校开营,2017-07-11,p
290,【高招进行时】提前批录取正紧张进行,2017-07-10,:
291,【实践路上】托起梦想，用爱助航——教育研究院“榕树厦”实践队开展助学支教和调研活动,2017-07-10,/
292,《中国教育报》头版刊发《厦大：上好思政“实践”课》通讯,2017-07-10,/
293,【高招进行时】我校普高招生工作全面展开,2017-07-10,n
294,法学院教授陈安担任“瞭望智库专家库”首批入驻专家,2017-07-10,e
295,党委宣传部新闻中心两部作品获中国高校电视奖一等奖,2017-07-10,w
296,推进“一带一路”建设工作领导小组办公室来校调研交流,2017-07-07,s
297,立德树人，保证人才培养质量——研究生院举办研究生导师培训系列讲座,2017-07-07,.
298, 【实践路上】“经世济邦•厦火燎原”—— 2017年港澳台学生暑期国情考察夏令营实践队走进闽赣革命老区,2017-07-06,x
299,【思政进行时】我校辅导员获第九届全国高校辅导员年度人物提名奖,2017-07-06,m
300,新西兰惠灵顿维多利亚大学代表团访校,2017-07-06,u
301,我校2017年博士研究生录取通知书已经寄出,2017-07-05,h
302,我校第三届 “互联网+”大学生创新创业大赛决赛成功举办,2017-07-04,t
303,关于开展“最美中国人”各族群众笑脸照片征集活动的通知,2017-07-04,t
304,【思政进行时】在国际化校园中提升“文化自信”,2017-07-03,p
305,第二届中国-欧洲国际海洋法研讨会在我校成功举行,2017-07-03,:
306,【天南地北厦大人】“博士村官”孙涛：两年扶贫路 拳拳驻村情,2017-07-03,/
307,学校召开“两学一做”学习教育常态化制度化经验交流暨党支部工作“立项活动”优秀成果表彰会,2017-07-02,/
308,学校举行“七一”升国旗和新党员入党宣誓仪式,2017-07-01,n
309,“庆祝香港回归20周年 我的内地求学故事”征文活动厦门大学获奖作品展示,2017-06-30,e
310,逐梦福娃　快乐起航——厦大幼儿园举办2017届毕业典礼,2017-06-30,w
311,校领导“七一”走访慰问老党员,2017-06-30,s
312, 习近平主持中央政治局会议　审议《关于巡视31所中管高校党委情况的专题报告》,2017-06-29,.
313,厦门市陈嘉庚奖学金工作领导小组来访我校,2017-06-29,x
314,第十三届海峡两岸大学生闽南文化研习夏令营开幕,2017-06-29,m
315,我校“好家风好家训”书画展开展,2017-06-28,u
316,【思政进行时】我校辅导员获第六届全国高校辅导员职业能力大赛决赛三等奖,2017-06-28,h
317,我校参与的联合国教科文组织教育规划所项目研究报告正式出版,2017-06-28,t
318,我校高招电话咨询服务火热进行中,2017-06-27,t
319,附属中山医院庄佩耘教授参加第46届国际嗓音学会年会,2017-06-27,p
320,【思政进行时】信息科学与技术学院：把研究生思政教育的“盐”溶进学术文化的“汤”,2017-06-27,:
321,校长朱崇实参观JF12高超声速激波风洞,2017-06-27,/
322,【“两学一做”常态化制度化】“政治生日”忆初心 “两学一做”争先锋,2017-06-27,/
323,医学院王海滨教授获国家重点研发计划资助,2017-06-27,n
324,全国大学生网络文化节在我校开展巡讲活动,2017-06-27,e
325,财政学科建设与发展暨庆祝邓子基资深教授从教70周年座谈会圆满举行,2017-06-27,w
326,第七届化学的创新与发展论坛暨田昭武院士90华诞庆祝活动在我校举行,2017-06-26,s
327,我校成功主办“2017中美青年创客大赛厦门区选拔赛”,2017-06-26,.
328,我校举行“院士回母校”报告会,2017-06-26,x
329,2017自贸区与“一带一路”高端论坛在我校举行,2017-06-26,m
330,我校与巨如集团签约合作“医疗大数据与高性能计算”,2017-06-23,u
331,【“两学一做”常态化制度化】颂恩楼“四点半小课堂”开课啦,2017-06-23,h
332,《光明日报》刊发《多方考虑综合权衡，选择理想的大学》专访,2017-06-22,t
333, 【思政进行时】校园合唱节　在青年学生中唱响社会主义核心价值观主旋律,2017-06-22,t
334, 牛津大学召开2017中英高等教育校长圆桌会议,2017-06-22,p
335,我校2017年第一次招生委员会召开,2017-06-22,:
336,校长朱崇实会见中国国民党中央评议委员会主席团主席赵守博,2017-06-22,/
337,徐羽灿：从校史馆到基层 换个地方“为人民服务”,2017-06-22,/
338,著作权法视野下的学术规范问题——厦门大学导师培训系列讲座第四讲,2017-06-22,n
339,“全国女大学生就业创业与职业发展”研讨会在我校举行,2017-06-21,e
340,第十五届中国•海峡项目成果交易会“新烯望、新产业、新动能”石墨烯产业展及高峰论坛圆满落幕,2017-06-21,w
341,2017年“6.16”安全生产宣传咨询日活动举行,2017-06-21,s
342,关于芙蓉餐厅停业改造的公告,2017-06-20,.
